date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:10	87/87	---M-Z	200	added ('OK')	text/plain	date:Thu,%2030%20Oct%202025%2015:00:10%20GMT	https://bastienfromont.com/robots.txt		(from )
16:00:10	19771/19771	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2015:00:10%20GMT	https://bastienfromont.com/	C:/Mes%20Sites%20Web/portfolio/bastienfromont.com/index.html	(from )
16:00:11	58948/58948	---M--	200	added ('OK')	image/png	etag:742787a2f680ce8de14e0c5c743d1b06	https://cdn.myportfolio.com/9303f5c5-1f4c-4e4e-8660-3b5d6b9f7896/76256fc3-29c9-498b-83c5-680f5a82c40b_rwc_0x0x794x812x794.png?h=4c6630aed4802f5379502c2d4ebb786e	C:/Mes%20Sites%20Web/portfolio/cdn.myportfolio.com/9303f5c5-1f4c-4e4e-8660-3b5d6b9f7896/76256fc3-29c9-498b-83c5-680f5a82c40b_rwc_0x0x794x812x7940172.png	(from https://bastienfromont.com/)
16:00:11	1334/1334	---M--	200	added ('OK')	image/png	etag:3a9c80c2c3c94e780a121737492407e7	https://cdn.myportfolio.com/9303f5c5-1f4c-4e4e-8660-3b5d6b9f7896/98a65598-404a-466d-8c67-507362a87d66_carw_1x1x32.png?h=eb3a0a97111edd09e547ce85731d9446	C:/Mes%20Sites%20Web/portfolio/cdn.myportfolio.com/9303f5c5-1f4c-4e4e-8660-3b5d6b9f7896/98a65598-404a-466d-8c67-507362a87d66_carw_1x1x326d5c.png	(from https://bastienfromont.com/)
16:00:11	9470/9470	---M--	200	added ('OK')	image/png	etag:126f5521ce37169624720ab38711a3e2	https://cdn.myportfolio.com/9303f5c5-1f4c-4e4e-8660-3b5d6b9f7896/026c6c27-cfaf-493e-af32-d429f3709ea6_carw_1x1x180.png?h=7275598492f0844ff2b72d101e366185	C:/Mes%20Sites%20Web/portfolio/cdn.myportfolio.com/9303f5c5-1f4c-4e4e-8660-3b5d6b9f7896/026c6c27-cfaf-493e-af32-d429f3709ea6_carw_1x1x180aede.png	(from https://bastienfromont.com/)
16:00:11	11553/11553	---M-Z	200	added ('OK')	text/css	etag:%2268f256db-2d21%22	https://bastienfromont.com/dist/css/main.css	C:/Mes%20Sites%20Web/portfolio/bastienfromont.com/dist/css/main.css	(from https://bastienfromont.com/)
16:00:11	75987/75987	---M--	200	added ('OK')	text/css	etag:e7794251cac2e2eff0b4217ba106d4bc	https://cdn.myportfolio.com/9303f5c5-1f4c-4e4e-8660-3b5d6b9f7896/abf92926aaf0f141524fae0c1674ecde1759832574.css?h=e07211817bfb17619f13c49739ac55b3	C:/Mes%20Sites%20Web/portfolio/cdn.myportfolio.com/9303f5c5-1f4c-4e4e-8660-3b5d6b9f7896/abf92926aaf0f141524fae0c1674ecde1759832574498f.css	(from https://bastienfromont.com/)
16:00:12	19771/19771	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2015:00:12%20GMT	https://bastienfromont.com/monprofil	C:/Mes%20Sites%20Web/portfolio/bastienfromont.com/monprofil.html	(from https://bastienfromont.com/)
16:00:13	18247/18247	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2030%20Oct%202025%2015:00:12%20GMT	http://use.typekit.net/ik/Bay_WmHdXQTG269QxHyiRA5ebKMzfdeCnXcj8A6W8Y6feT6gfHYEBsJzwD9oFDIDWDJD52qoZQboFhJDjhbaZRF85Qyc5eF85Q9hFDIXFAwhZ2SUjhmKwQw-MfJIZ1s0-kJIShyEjkG4fJFmIMMj2PMfH6qJ6B9bMg6VJMJ7fbKemsMMeMw6MKG4fJsmIMMjgfMfH6qJxubbMg6BJMJ7fbKgmsMMeMS6MKGHf4PqMyMgeMb6MTMgUTaQ3Mj.js?cb=ea5c7bdea1f3e9b04b7e3175ce9aa3fd2a8d5931	C:/Mes%20Sites%20Web/portfolio/use.typekit.net/ik/Bay_WmHdXQTG269QxHyiRA5ebKMzfdeCnXcj8A6W8Y6feT6gfHYEBsJzwD9oFDIDWDJD52qoZQboFhJDjhbaZRF85Qyc5eF85Q9hFDIXFAwhZ2SUjhmKwQw-MfJIZ1s0-kJIShyEjkG4fJFmIMMj2PMfH6qJ6B9bMg6VJMJ7fbKemsMMeMw6MKG4fJsmIM	(from https://bastienfromont.com/)
16:00:13	19398/19398	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2015:00:12%20GMT	https://bastienfromont.com/reconception	C:/Mes%20Sites%20Web/portfolio/bastienfromont.com/reconception.html	(from https://bastienfromont.com/)
16:00:13	37051/37051	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2015:00:14%20GMT	https://bastienfromont.com/exploration	C:/Mes%20Sites%20Web/portfolio/bastienfromont.com/exploration.html	(from https://bastienfromont.com/)
16:00:14	27304/27304	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2015:00:14%20GMT	https://bastienfromont.com/contemplation	C:/Mes%20Sites%20Web/portfolio/bastienfromont.com/contemplation.html	(from https://bastienfromont.com/)
16:00:14	14543/14543	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2015:00:14%20GMT	https://bastienfromont.com/contact	C:/Mes%20Sites%20Web/portfolio/bastienfromont.com/contact.html	(from https://bastienfromont.com/)
